Q01_Best part	Q02_Worst part	Q03_Time
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean blandit vestibulum dolor, sit amet euismod tellus lobortis a. Morbi maximus gravida dui sit amet iaculis. Cras quis dolor vel dui scelerisque fringilla. Duis a mi ut ex elementum egestas. Ut dapibus imperdiet tristique. Aliquam ut tellus et dui viverra mattis a at ipsum. Sed id volutpat odio. Sed laoreet euismod metus sit amet volutpat. Aenean a convallis mauris. Cras interdum dictum libero quis gravida. Ut varius commodo arcu quis cursus. Phasellus ultrices aliquam quam, sed eleifend eros bibendum quis.Nam venenatis malesuada erat, non tempus nunc tempor ut. Nulla dictum mauris purus, nec accumsan lorem accumsan in. Nullam sapien lorem, tempus sed nunc sit amet, semper pharetra arcu. Donec at ultricies nisi. Vivamus nec tincidunt nunc. Donec accumsan semper dignissim. Curabitur finibus orci diam, quis posuere est commodo et.Sed metus elit, pharetra in est non, tincidunt pulvinar sapien. Cras non orci eget libero vestibulum fringilla. Nam fermentum pulvinar augue. Nulla pulvinar, dolor sed luctus faucibus, diam mi placerat eros, faucibus ultrices nunc purus ut enim. Aliquam blandit suscipit dolor quis suscipit. Donec auctor, risus eget elementum auctor, felis ex ornare neque, sed ultrices leo enim in leo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean venenatis turpis turpis, at varius felis vestibulum ac. Sed non ullamcorper diam, in faucibus neque.Praesent tincidunt posuere mauris eu efficitur. Nam vitae sapien libero. Sed eu eros pellentesque, luctus risus ac, laoreet eros. Praesent vulputate, nibh sit amet feugiat iaculis, mauris neque vehicula ex, vel iaculis dui nunc nec ipsum. In sit amet nunc vitae sapien porttitor dignissim. In vehicula, mi et elementum elementum, massa massa molestie nisl, eu vulputate turpis dolor eu neque. Etiam ac nunc consectetur, placerat erat a, pulvinar arcu. In hac habitasse platea dictumst. Donec iaculis a dui id ullamcorper. Curabitur sed orci sodales, ultrices ante nec, gravida leo. Integer at cursus nibh. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vivamus et blandit urna. Quisque luctus, quam ac tincidunt luctus, ante tellus mollis neque, in mattis metus justo et enim. Nunc tincidunt ante nec odio malesuada, vel efficitur felis egestas. Pellentesque tincidunt dolor leo, sed rutrum lorem viverra id. Proin tincidunt nunc vitae augue tincidunt eleifend. Nunc pulvinar rutrum elit sed porta. Nunc orci lectus, efficitur a augue et, lobortis semper enim. In et congue lacus. Pellentesque sed nibh sed arcu maximus pellentesque nec non odio. Nunc at pulvinar ligula. Nullam sit amet diam vel elit facilisis bibendum. Phasellus sit amet lectus urna.	Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean blandit vestibulum dolor, sit amet euismod tellus lobortis a. Morbi maximus gravida dui sit amet iaculis. Cras quis dolor vel dui scelerisque fringilla. Duis a mi ut ex elementum egestas. Ut dapibus imperdiet tristique. Aliquam ut tellus et dui viverra mattis a at ipsum. Sed id volutpat odio. Sed laoreet euismod metus sit amet volutpat. Aenean a convallis mauris. Cras interdum dictum libero quis gravida. Ut varius commodo arcu quis cursus. Phasellus ultrices aliquam quam, sed eleifend eros bibendum quis.Nam venenatis malesuada erat, non tempus nunc tempor ut. Nulla dictum mauris purus, nec accumsan lorem accumsan in. Nullam sapien lorem, tempus sed nunc sit amet, semper pharetra arcu. Donec at ultricies nisi. Vivamus nec tincidunt nunc. Donec accumsan semper dignissim. Curabitur finibus orci diam, quis posuere est commodo et.Sed metus elit, pharetra in est non, tincidunt pulvinar sapien. Cras non orci eget libero vestibulum fringilla. Nam fermentum pulvinar augue. Nulla pulvinar, dolor sed luctus faucibus, diam mi placerat eros, faucibus ultrices nunc purus ut enim. Aliquam blandit suscipit dolor quis suscipit. Donec auctor, risus eget elementum auctor, felis ex ornare neque, sed ultrices leo enim in leo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean venenatis turpis turpis, at varius felis vestibulum ac. Sed non ullamcorper diam, in faucibus neque.Praesent tincidunt posuere mauris eu efficitur. Nam vitae sapien libero. Sed eu eros pellentesque, luctus risus ac, laoreet eros. Praesent vulputate, nibh sit amet feugiat iaculis, mauris neque vehicula ex, vel iaculis dui nunc nec ipsum. In sit amet nunc vitae sapien porttitor dignissim. In vehicula, mi et elementum elementum, massa massa molestie nisl, eu vulputate turpis dolor eu neque. Etiam ac nunc consectetur, placerat erat a, pulvinar arcu. In hac habitasse platea dictumst. Donec iaculis a dui id ullamcorper. Curabitur sed orci sodales, ultrices ante nec, gravida leo. Integer at cursus nibh. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vivamus et blandit urna. Quisque luctus, quam ac tincidunt luctus, ante tellus mollis neque, in mattis metus justo et enim. Nunc tincidunt ante nec odio malesuada, vel efficitur felis egestas. Pellentesque tincidunt dolor leo, sed rutrum lorem viverra id. Proin tincidunt nunc vitae augue tincidunt eleifend. Nunc pulvinar rutrum elit sed porta. Nunc orci lectus, efficitur a augue et, lobortis semper enim. In et congue lacus. Pellentesque sed nibh sed arcu maximus pellentesque nec non odio. Nunc at pulvinar ligula. Nullam sit amet diam vel elit facilisis bibendum. Phasellus sit amet lectus urna.	2 : 1-5 hours
Good lecturer	-0	3 : 6-10 Hours
Python exercises were nice: clear instructions, good difficulty level, concrete results	'Theoretical questions about properties of matrices. I''d rather focus on the intuition of ideas before sucking the fun out of it with linear algebra'	4 : 10-20 hours
Basic introduction to the Python tools to be used during the course.	'The quiz questions about the properties of Gramian matrices came a bit out of the blue and was definitely not easy to find information about, until you figured out that the matrix X^T X was called Gramian matrix. Even then it required quite the digging, and unfortunately the question''s and the matrix properties'' significance to the course was not explained (I''m guessing the linear independence is the point: if the matrix is not invertible, it means some feature(s) is (/are) a linear combination of another/other feature(s), and is therefore redundant, and can/should be removed).'	3 : 6-10 Hours
The Jupyter notebook is great. It allows the student to test out the concepts in a programmatical way without too much hassle of setting up everything on their own.	Even if the Jupyter notebook was great, the exercise instructions could have been better. First, I thought that you were supposed to return them. So I kind of overdid a lot of unnecessary stuff. And spent time figuring out how to print stuff out nicely in Jupyter. Well, now I know how to make nice returns with Jupyter if needed...	3 : 6-10 Hours
Course book was concise and easy to follow	Reasoning about matrix properties was a bit too difficult	3 : 6-10 Hours
I liked very much how tasks 2 and 3 gave a couple examples of mathematical tools that can be used to visualize how they can be used to "see" things in data. This visual example was useful for me. Jupyterhub is also a very pleasant way to do these exercises.	'Task 0 didn''t help me too much to get a grasp of numpy. https://docs.scipy.org/doc/numpy/user/numpy-for-matlab-users.html was useful for me as I have used Matlab.'	3 : 6-10 Hours
It was easy to get started with the provided, plug-and-play Jupyter notebooks.	'There''s not enough exercises. It would be nice to have some optional, bonus stuff to improve ones grade.'	3 : 6-10 Hours
I liked how the coding assignment is really easy and fast to do in the online environment JupyterHyb.	'Because I don''t have long history with coding, first I had some difficulties to get my code running without errors. The errors were raised by&nbsp;raise &nbsp;NoImplementedError. Luckily my friend said that I can just erase it and the problems disappeared.'	3 : 6-10 Hours
Getting an understanding of the basic implementation schemes and understanding the concepts in practice.	Was pretty straight forward	2 : 1-5 hours
I guess the best part of this round is to refresh about linear algebra, eigenvalues, eigenvectors, which will later support PCA analysis on this course.	'Well, it''s a bit shocking to see report any typos in Section X of the textbook in a quiz. Initially, I thought that''s a real question and put the textbook back under my radar simply for typos...actually there''s no value added to report typos during very time-limited quiz hour.'	3 : 6-10 Hours
The lectures.First, the lectures started from very beginning what ML is and reached a point that how a simple ML problem is formed.Second, they are also provided through videos. It gives the possibility of going through them also later and check for the details.	The assignments.I have programming experience but not much familiar with the Python language. Thus, going through the assignments and writing the correct code was a big challenge for me.I did not have time to go to the exercise garages and I needed some help anyway!Would that be possible if you provide us with some books that teach us the basics of Python for self-learning?I searched a lot but there are many books on Internet and not all of them are suitable for beginners.	3 : 6-10 Hours
I liked the simple and straight-forward examples! Apples ftw!	'I feel like the lecturer lost some people on the intuition of why we need concepts such as loss functions and gradient descent. Once you get it it''s excellent but it''s sort of a mental jump for people not well-versed in machine learning!'	3 : 6-10 Hours
I am not familiar with the syntax used in python so I was delighted to see that it was somewhat similar to matlab. Therefore for example the 1st example was great and also splitting the data etc. Overall I would have liked to have more of these introduction exercises as I am not familiar with python.	I was at the garage and the assistant changed some of the given example code as the original one was giving some strange errors for me. It still dont understand how should I know if my code is correct or not which could be problem now and later.	3 : 6-10 Hours
Well, funnily enough, I liked that you asked about the concepts, the features, labels and so on. As machine learning is such a fast paced area, it is sometimes difficult to keep track of the big picture, to see forest for the trees.	Keeping in mind that everything is relative, I think the worst part was some of the matrix stuff. Without solid foundation in it, it was difficult to see *why* certain features were important.	2 : 1-5 hours
-0	-0	3 : 6-10 Hours
Python libraries. I have not used before pandas or matlib and I founded them quite useful in the future. I also liked JupiterHub as learning environment.	"Features" and "labels". I think terminology is absurd. In enywhere else we would use terms such as "sensor data" and "insights" or "inputs" and "outputs"	4 : 10-20 hours
All were good basic introductions to used tools	All were good basic introductions to used tools	2 : 1-5 hours
The initial exercises were on a good level on their difficulty since they allowed for a small initial refresher on certain topics.	I feel like the system with the quiz and programming exercises is kind of wonky, although I guess it works as a temporary solution.	2 : 1-5 hours
Tough question for me, I really liked the whole exercise round. There is something inherently interesting and fun to me with simply being able to combine programming and mathematics	'Didn''t have such as I liked the whole round. The difficulty and everything felt just right. Knew some stuff beforehand but also had to learn some new things and do revising.'	2 : 1-5 hours
The best part of this round was exercise 3. It was a good recap of eigenvalues and eigenvectors, as I have not been studying these issues for a long time.	The worst part of this round was exercise 1, because the things covered in this exercise were already familiar to me and therefore it was quite useless.	3 : 6-10 Hours
The eigenvector exercise was the best part, because it reminded me that I should brush up on my matrix algebra	Question 2 in the quiz was the worst part, because I did not feel like I learned anything substantial doing that	2 : 1-5 hours
'General introduction to features, labels and hypothesis space. I''ve had courses previously that used machine learning concepts, but this time I think I finally understood what do they actually mean.'	'Question 11 in the quiz was a bit misleading. I just picked the one that I got from running the python code, I didn''t consider scaling the same vectors with scalar number.'	3 : 6-10 Hours
Learning about scatter plots and such seemed interesting	'There wasn''t information provided on how to use the provided libraries. I don''t know whether this was by intent.'	2 : 1-5 hours
Using cryptocurrency as an example was interesting as it has been quite a hot topic in general lately.	Chapter 2.2 Hypothesis space needed to be read a couple of times before understanding the concept. Might not be the worst part of this round but definitely the toughest for me at least.	3 : 6-10 Hours
Python exercises are well designed.	Hypothesis space is quite difficult to understand as a concept.	2 : 1-5 hours
I think real world examples of possible features in Roomba-case were highly valuable in understanding the concept-	I am still not quite sure how hypothesis space is formed.	2 : 1-5 hours
Task 2. Files.	Task 1 - Plotting.	2 : 1-5 hours
The basics of machine learning were explained well.&nbsp;	No worst part in this round.	2 : 1-5 hours
Well, I liked the whole excercise, but one of the best parts was the numpy refresher.	Task 3 had some differences in the text and the coding section (task 3.2). Also using as_matrix gives "FutureWarning: Method .as_matrix will be removed in a future version. Use .values instead."	2 : 1-5 hours
The best part of this round was the&nbsp;topic of hypothesis space. It clarified the basics of machine learning for me and opened a new world of science and problem-solving.	The worst part was the matrix exercise in the very beginning. That is mainly because it was too easy and did not force to refresh the basic concepts of matrix calculations. Although, it is understandable because that exercise was more like numpy&nbsp;introduction.	3 : 6-10 Hours
The python exercise was really good part, since it taught me the basics of numpy and panda libraries.&nbsp;	Maybe there would should have been a brief tutorial of the basics of numpy and panda. Now i had to google the needed functions (which was not a bad thing to be honest).	2 : 1-5 hours
Intro to pandas and numpy.	Can not think any.	2 : 1-5 hours
Questions about invertibility of the matrix and the eigenvector exercises were the best in my opinion. The reason is that this forced me to recall some intuitions about these basic but essential linear algebra topics.	'I still don''t get what Sample Covariance matrix actually means in an intuitive manner.'	2 : 1-5 hours
'It''s great the lectures can be viewed online, due to work I''m not able to attend them otherwise.'	-0	2 : 1-5 hours
The example graphs during the lecture were very illustrative (e.g. loss function)	The first part of the exercise quiz had nothing to do with the python exercise "Task 0 - Matrices and Vectors".	3 : 6-10 Hours
The jupyter exercises had clear instructions, and no time had to be spent to actually figure out the goal.	Feature length: The lecture slides were easy to misunderstand as saying that d was the combined lenght of all features, while the coursebook stated it was lenght of a single feature.	2 : 1-5 hours
Overall the book chapters was very helpful to gain a basic understanding of the subject.	'Hmm haven''t really got any... Maybe the programming assignments could have been more difficult?'	3 : 6-10 Hours
Lecture material was quite clear.	-0	4 : 10-20 hours
Loss functions. Just an interesting topic overall.	Would be a bit artificial. All good stuff.	2 : 1-5 hours
'Everything linked to eachother, so it''s hard to have preferences.'	Same as above.	3 : 6-10 Hours
The "which plot matches the one you got" type of questions. Answering is fast and easy if you already took the time to complete the assignments.	'The questions about typos in the material. The are no points for them, the time limit will restrict any effort to look for typos, and I sure as heck can''t remember if there were typos or not in the N amount of pages I read. Maybe ask that in the feedback rather than in the actual quiz.'	2 : 1-5 hours
Overall the jupyter notebook was good and fun doing	'Some questions in the quiz didn''t reflect the notebook'	2 : 1-5 hours
Loss functions were intuitive and explained in not too verbose manner.	'Hypothesis space was explained with excruciating verbosity that might''ve made it more difficult understand.&nbsp;'	3 : 6-10 Hours
Basic python operations were useful regarding the course work ahead.	Hard to say which was worst. No idea.	2 : 1-5 hours
Python coding, it had the right amount of hints how to use the libraries.	'Question about the number of elements of the hypothesis space, I didn''t quite get how it is calculated. Hypothesis space in general.'	2 : 1-5 hours
The visualization of data in the exercises.	Nothing.	3 : 6-10 Hours
I liked the notebook exercises, because they were just a nice and gentle introduction to relevant python libraries.	'I don''t think any part was really bad, the first round was very well done. If I had to name one, I''d say the reading materials, because there were a lot of terminology which are pretty hard to remember.'	2 : 1-5 hours
Features.&nbsp;In the beginning of the first lecture, I did not really understand what features are and how to characterize them, but after some repetition during the lecture and reading the book, it was made clear. It is really good to repeat the definitions during the lecture because when everything is new it might be hard to remember all the definitions, so it is much easier to understand the rest of the concepts if the definitions are repeated, exactly what was done in both the first and second lecture. Also the examples are very good, it makes everyhting much more understandable.	The hypothesis space and the utilization of loss function.This was my opinion before the second lecture, when I did not yet know how to "use" the loss funciton. After the second lecture, it was clearer how to get the correct hypothesis and I think after reading the section in the book it will be even clearer,	4 : 10-20 hours
coding, helps put theory into practice	matrices, always trouble	3 : 6-10 Hours
A good recap on vector/matrix math, as well as computation and plotting with python. 	'The course material used robot vacuum Rumba as an example, which is extremely annoying considering the whole Artificial Intelligence course also used Rumba as an example all the time. Having some more interesting and varying example use cases would really make the reading a lot more exciting and engaging. I don''t think anyone would be excited after reading about Rumba for hours and hours.'	2 : 1-5 hours
'Exercise two was a good reminder on how to visualise data in various manners. Personally I found it useful, since it''s been a while since I last used Pythonand have never used numpy or matplotlib.'	Overall, I would have liked to have more in-depth explanation as to why we had the kind of Python/R exercises we had.Also, I found it difficult to grasp the concept of hypothesis space just by reading the provided course book. It feels the course book assumes the readeris a mathematician, which makes it sometimes difficult to follow the concepts and calculations. Yes, a certain level of mathematical skills are required,but trivially leaving explanatory parts does not help learning.	3 : 6-10 Hours
Loss functions, I found them interesting.	The last exercise was time consuming for me at least, I did not get the correct answers for the quizz.	4 : 10-20 hours
I enjoyed the plotting exercises. It gives nice feeling of success when you actually see that you did something right.	Hypothesis space was the hardest concept to understand.	3 : 6-10 Hours
Getting the hands on experience introduction to tools used in course exercises.	No clear worst part.	2 : 1-5 hours
First coding assignment plotting was very good starting for the subject.	When we calculate eigenvectors and values because I am not sure how they fit on context?	3 : 6-10 Hours
The examples were clear to follow and nicely backed up by maths	Formatting of the notes w/ labels showing	2 : 1-5 hours
Generally getting a feel for handling data and seeing it translate into something meaningful in graphs.	-0	3 : 6-10 Hours
Python exercises were absolutely best. (I love coding) :)	'Can''t really point a single thing that was the worst.'	3 : 6-10 Hours
All the topics are good. In a sense, they teach plotting, matrix operatings and vector operations, which are also available in MATLAB. In basic Python courses, such topics are usually skipped.	The worst part is the fact the right answers you gave in hte previous quiz attempt are not stored and you have to tick them again.	2 : 1-5 hours
the basics are quite clear	Hopothesis space could have been explained more clearly	2 : 1-5 hours
Task 3: Nice to get recap of eigenvectors. Good visualisations to really understand what eigenvectors are all about.&nbsp;	'Task 1: Boring and I don''t see how it fits in to the context of the course yet.'	2 : 1-5 hours
I liked jypyter excercises as they give a hands on feel to ML.	At the same time some jypyter tasks were just about using right library functions to calculate something. This felt more like pyplot, numpy and pandas excercise rather than ML excercise.	3 : 6-10 Hours
Numpy and matplotlib basics were well introduced and it was good to show how to use matrices in that environment.	All the math were not yet connected to practicality so it was quite vague how they are going to be used.	3 : 6-10 Hours
Task 2 was the most interesting regarding data point handling. Further, the lectures were very clear and good.	Task 1 felt unnecessary for the rest of the round.	3 : 6-10 Hours
Feedback on quiz.	'Jypyter, because it''s a completely new thing to me. More detailed instructions would be helpful at least in the first round.'	4 : 10-20 hours
learning do to matlab stuff with numpy&nbsp;was pretty cool, also that it was taught and demonstrated properly was a good thing.	the quiz referred to the textbook which i dont&nbsp;even know what it is called and couldnt&nbsp;access to it. Probably wont get it from now on so those questions felt awkward.	4 : 10-20 hours
'I like the Jupyter workspace - first time using it. It''s really easy to use and seems to do what it should quite flawlessly. An excellent way of hosting assignments which require programming!'	I think the course book is a bit of a tough read. The text feels repetitive and the heavy use of parenthesis (even nested (like this)!) kinda breaks the flow.	3 : 6-10 Hours
Learning terms well and how the ML problems are formed on big pictureClarified the complexity of machine learning quite a bit.	Matrix invertibility check with multiple choiceI did not really find a link to learn why the quiz answer was correct: neither in book or the exercises.&nbsp;	2 : 1-5 hours
I think all the python notebook exercises were very good.	'Theoretical matrix theory question. There wasn''t much explanations how to answer quiz.'	2 : 1-5 hours
Features and labels since they were the most essential concepts	The math as I had forgotten most of it	3 : 6-10 Hours
I did enjoy getting familiar with numpy.	'I''ve somewhat forgotten the basics of linear algebra and matrices, so I had/have to do some recap on those.'	3 : 6-10 Hours
explanation of the relationship between AI and ML is very clear and concise	eigenvectors and eigenvalues, still hard to wrap my head around it.&nbsp;	3 : 6-10 Hours
Materials and tasks in jupyter were nice. They were well structured. It helps when I can test and see things in practice. 	I did not get anything out of the lectures.	3 : 6-10 Hours
Task 2 of python exercises. Simple enough to do, clear instructions. Nice pictures.	Task 3. Really confusing task, there should have been more theory/examples about this. Not so easy to understand.	3 : 6-10 Hours
'The whole defining of the basic machine learning problem was very interesting. Simply because I''ve been into data crunching with traditional methods for a while and this is a whole new area for me.Also, plotting the figures with Python was a nice excercise for first round.'	'Well, linear algebra''s never been my strongest suit, so I had to scratch my head once or twice while completing those. I know it''s an important and essential, even an integral part of all this, nevertheless.'	2 : 1-5 hours
Task 2 of the Python notebook. It served as a good Python refresher when I needed one.	The theory questions in the quiz were a bit ambiguous. I thought I understood the concepts fairly well, but it took some brute force guessing to find the correct answers.	2 : 1-5 hours
The Python progamming exercises gave a great recap of basic Python and a good introduction to the math and plotting libraries.	Algebra, due to it being many years ago since I took the mathematics courses.	4 : 10-20 hours
'Plotting the data from files. I don''t know.. I just like working with data and visualizing it.'	Nothing really annoyed me yet. 	3 : 6-10 Hours
Actually writing lines of code. Also, that the quiz worked as a validator of sorts: the assignment text itself was poorly arranged so that I missed many things from the assignment before I faced them in the quiz.	'Mathematics. I''m not fond of highly theoretical mathematics, and thus the university-style of depicting the basic rules of matrixes behind ML were near impossible for me to comprehend. But I fault that to myself, not the course: we''re in a university of technology, after all.'	2 : 1-5 hours
Writing and running the notebooks. It feels hands on and verification is fast.	'Reading the book. Not that it''s not well written, but it''s always annoying to read technical stuff with a "general interest" mindset instead of something to solve a problem. Just my preference.'	2 : 1-5 hours
Task 3 of coding assignment. Good intro to using linear algebra with python.	'The second question in the quiz (matrix invertibility). I didn''t find this covered in any part of the course book/exercises.'	2 : 1-5 hours
'Don''t know'	Hypothesis space was explained possibly too complicated.	2 : 1-5 hours
Labels states for what are we using the ML for. 	Hypothesis Space is harder to understand compared to other topics.	3 : 6-10 Hours
'The last python notebook exercise. I haven''t done anything related to matrices in a while, and that exercise forced me to refresh my memory on the topic.'	'Don''t really have anything negative to say about the first round.'	3 : 6-10 Hours
A real-world example of human activity (Bitcoin and Ethereum prices) was interesting and easy to understand. The example of different Python functions as part of a hypothesis space in Figure 17 is good, because it concretizes the quite abstract concept of hypothesis space. 	Actually, I cannot think of any; the tutorial is compact but understandable. During the task 3 (eigenvectors) I spent some time (one hour?) reading the matplotlib manual in the Jupyter notebook to find out how to draw the eigenvectors in the picture. However, I consider that is just part of learning matplotlib.	3 : 6-10 Hours
I enjoyed doing the graphs. Pictures tell 1000 times more information than raw data.&nbsp;	Basic calculation are not so interesting.&nbsp;	3 : 6-10 Hours
Hypothesis space: It is a set of function which used to map the feature space to the labels. Given that there are infinitely many mapping functions in a given hypothesis&nbsp;space, choosing&nbsp;the best predictor function out of all the hypothesis&nbsp;space is one interesting&nbsp;part of machine learning.	'I don''t have a comment on this.&nbsp;'	3 : 6-10 Hours
Programming exercises. Gives better understanding of the topics discussed in course book because one really haves to understand the theory to do the tasks.	Quiz. The quiz was a bit too easy.	4 : 10-20 hours
'Overall it was ok. Good visual examples with proper dataset to make the concept of data spread clear. However, at first it wasn''t clear how the scatter data has to be plotted (x is the first column and y the second one).'	The one regarding the eigenvalues and eigenvectors. I read separately on the below link to better understand ithttp://www.visiondummy.com/2014/04/geometric-interpretation-covariance-matrix/	3 : 6-10 Hours
The example of Roomba is helpful. The Jupyter note exercises are great.	The text book is good but sometimes it gets to fast into details/concepts. It lacks a diagram showing the ML workflow from data-&gt;features-&gt;labels-&gt;... indicating the different methods that can be applied in each transition.	3 : 6-10 Hours
'The whole coding assignment was nice! It was pretty well done. It reminded me Andrew Ng''s course which I took from Coursera (Deep Learning). Although I couldn''t finish it, haha.'	-0	4 : 10-20 hours
I liked the Task 2 of the coding assignments: I found and tried different ways to get the final result and I think this taught me to not only go with the first idea that works.	'I didn''t like the quiz that much; the questions about matrix properties that weren''t even included in the task scared me at first, because I haven''t worked with matrices for a while. It was good to check those things out, but it was a nasty surprise that it popped out in the quiz.'	4 : 10-20 hours
I think that task 3 might be the best part of this ground. It is fun to play with tools like numpy, matplotlib and pandas.	Nothing really bothered me so I think that there was nothing really bad. Round 1 was nice introduction to concepts of ML.	2 : 1-5 hours
I liked how the problem was generalized to 4 key components to which most (all?) data inference problems can be mapped to.	Nothing	3 : 6-10 Hours
Real life applications of ML	The hypothesis space remained somewhat unclear to me.	3 : 6-10 Hours
This was the introduction&nbsp;to the topic- Therefore, the whole round was rather useful. The idea of visualizing the data could have been the best part.	The idea behind eigenvectors and -values could have been explained more comprehensively.&nbsp;	2 : 1-5 hours
Data analysis exercise 2. Simple and easy to understand directions.	'Finding typos in the text. Do we get points for this or what is this? Are there intentional mistakes in the text or is the teacher using us to proofread his text? Because I''d rather spend my time learning about the topic than searching for typos. There must be better ways to make sure we read the text if that''s what you''re trying to do.'	3 : 6-10 Hours
All the jupyter notebook tasks were nice reminders and warmup for further python excercises	the very particlar matrix questions came as a surprise and were challenging since it has been a while since playing with them more.	3 : 6-10 Hours
Plotting. It is always useful to visualize results.	Notebook could have been longer	2 : 1-5 hours
The practical programming assignments were a nice introduction to libraries related to machine learning.	'There wasn''t really anything that stood out in a bad way.'	3 : 6-10 Hours
Eigenvector exercise was the best part of this round, because eigenvectors are difficult to understand but the exercise was well explained.&nbsp;	First two exercises were too easy.	2 : 1-5 hours
The scatter figure!	It was all okay.	2 : 1-5 hours
The last exercise was the best one. It was well explained.	Loss function	5 : more than 20 hours
Features and labels were the best part of this round. They helped me in understanding machine learning problems. It was really interesting to learn point of view of machine learning in problem solving.	The part that news improvements is&nbsp;Hypothesis Space. I think it could be explained in a better way with examples. The examples in online teaching sites helped me to understand this topic. Reading material can also be improved.	5 : more than 20 hours
I think the first lecture was excellent. From the lecture, I think the simplicity of the explanation of ML was the best thing about the lecture. I think even people with low level mathematical understanding could follow.&nbsp;	I think the quiz was only mediocre, since it was hard to tell how quickly I should rush through the questions, &nbsp;especially since the second question (at least in my quiz) was about matrix algebra, which could not be done without practice or studying. I spent a long time trying to make sure my answers would be correct, but I was still rushing since I thought other questions would be similarly difficult and time consuming.	2 : 1-5 hours
I think the coding Task 2 is useful overall among all the tasks.	Loss function was a difficult topic to really grasp in contrast to, for me, much easier concepts (features, labels). Hypothesis space I understood somehow, maybe not completely yet.	3 : 6-10 Hours
Task 1 was good for either learning to use numpy or relearn it after a while. There were several different elements to do and the task was not too straightforward.	Task 2 got me some time to get it right. Also the system gave some warnings about using .as_matrix	3 : 6-10 Hours
